state,year,Exportaciones totales,Industria alimentaria,Industria de las bebidas y el tabaco,Fabricación de insumos textiles y acabado de textiles,"Fabricación de productos textiles, excepto prendas de vestir",Fabricación de prendas de vestir,Industria del papel,Industria química,Industria del plástico y del hule,Fabricación de productos a base de minerales no metálicos,Industrias metálicas básicas,Fabricación de productos metálicos,Fabricación de maquinaria y equipo,"Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos",Fabricación de equipo de transporte,"Fabricación de muebles, colchones y persianas",Otras industrias manufactureras,Subsectores no especificados,"Minería de minerales metálicos y no metálicos, excepto petróleo y gas","Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos",Industria de la madera,Impresión e industrias conexas,"Fabricación de accesorios, aparatos eléctricos y equipo de generación de energía eléctrica",Extracción de petróleo y gas,Fabricación de productos derivados del petróleo y del carbón
Aguascalientes,2007,4389841,36351,NA,1920,NA,197076,NA,3295,6136,8448,NA,8144,42024,420432,3648453,NA,2037,15525,NA,NA,NA,NA,NA,NA,NA
Aguascalientes,2008,4456893,44880,NA,NA,8662,235878,3710,4072,15193,47484,NA,5782,44467,505006,3515760,NA,3949,22049,NA,NA,NA,NA,NA,NA,NA
Aguascalientes,2009,3951108,54269,NA,NA,12466,237635,2510,4869,1749,69866,NA,3776,9584,663059,2801452,4678,26865,58331,NA,NA,NA,NA,NA,NA,NA
Aguascalientes,2010,5647929,56695,NA,4433,14636,252610,NA,6488,3405,95227,NA,6433,31986,895390,4192334,6825,8414,73051,NA,NA,NA,NA,NA,NA,NA
Aguascalientes,2011,6051640,74756,0,4700,NA,276583,NA,5950,6894,73052,NA,7546,41444,898544,4550877,NA,16454,94840,NA,NA,NA,NA,NA,NA,NA
Aguascalientes,2012,6183782,92580,NA,5843,NA,215002,NA,7500,5063,79030,NA,6647,46991,908028,4749144,NA,18374,49580,NA,NA,NA,NA,NA,NA,NA
Aguascalientes,2013,6726207,99725,0,3614,NA,179165,NA,12147,6426,104135,NA,8494,28262,940387,5229090,NA,21269,93494,NA,NA,NA,NA,NA,NA,NA
Aguascalientes,2014,8466007,106988,0,1260,NA,181832,NA,12792,7539,105912,NA,12644,45344,1067080,6805760,NA,24767,94090,NA,NA,NA,NA,NA,NA,NA
Aguascalientes,2015,8495445,117028,NA,1796,NA,183188,NA,11532,16424,105762,132,10967,41210,1028529,6860731,NA,26112,92033,NA,NA,NA,NA,NA,NA,NA
Aguascalientes,2016,7870962,106119,NA,NA,NA,182011,NA,14701,15097,79073,1013,7751,28363,964974,6369339,NA,22153,80369,NA,NA,NA,NA,NA,NA,NA
Aguascalientes,2017,7830019,108958,NA,NA,NA,161844,NA,14492,11479,70302,2773,53820,28080,987418,6273466,NA,21743,95643,NA,NA,NA,NA,NA,NA,NA
Aguascalientes,2018,9618407,116315,NA,NA,NA,191112,NA,14990,11493,81294,3157,67730,26917,1073152,7927159,NA,24721,80368,NA,NA,NA,NA,NA,NA,NA
Baja California,2007,31858677,119282,17237,32529,17893,348823,220467,57407,531226,206810,90746,1753575,730165,20821221,2094398,724390,2674505,36588,NA,NA,81026,39849,1260537,NA,NA
Baja California,2008,32988913,118232,103539,40329,17301,350484,191364,49891,598185,208156,133332,1553075,651290,21236670,2304420,664584,2945327,45931,NA,NA,73914,48956,1653934,NA,NA
Baja California,2009,26741828,112519,81445,37869,36692,338599,127906,70300,542274,189319,76539,1234678,323344,16546315,2125355,488200,2781960,39592,NA,NA,46050,98903,1443969,NA,NA
Baja California,2010,28882194,112461,74273,46694,14722,327555,168088,79967,590756,244841,88294,1335891,698677,16693116,2676655,580118,3228897,37955,NA,21666,28138,116276,1717154,NA,NA
Baja California,2011,30151512,134676,78357,26617,21993,340166,133723,278716,656415,272142,177180,1534355,968572,16428992,3444019,560781,3462348,52297,NA,25788,19649,139595,1395132,NA,NA
Baja California,2012,31663051,152449,100612,NA,23254,305262,155870,330995,728076,309627,179042,1680666,1047422,16650202,4039805,576161,3533761,35364,0,36191,24394,223990,1529907,NA,NA
Baja California,2013,32229572,131523,101442,7114,21386,289333,181234,335980,789093,330813,124084,1773741,1105497,16427192,4338324,646201,3711879,52634,NA,20098,23040,249732,1569230,NA,NA
Baja California,2014,35002851,121725,127870,NA,20657,311348,195509,340746,861627,333018,124736,1863387,1472621,16779587,4779392,694072,4466856,75378,NA,20279,26347,219580,2168116,NA,NA
Baja California,2015,38441997,132109,117168,NA,39444,293630,224112,399528,935573,299870,143108,1985404,1899686,18450288,5201959,758283,4778639,92703,NA,19027,25691,235562,2410213,NA,NA
Baja California,2016,35997279,144608,120403,NA,41192,329275,209833,323013,1066861,292136,158702,2020704,1864949,15023816,5356568,720997,5413595,107603,NA,21031,32309,254929,2494754,NA,NA
Baja California,2017,36315716,269082,120908,NA,61654,269661,216374,317436,1079706,248008,194167,2135710,2012821,14540585,5532541,795438,5567365,97326,NA,25592,63012,236713,2531617,NA,NA
Baja California,2018,38661917,265712,132333,NA,53651,330276,233554,340966,1088897,275253,222374,2354310,2257314,14082104,7388688,857318,5958241,79891,NA,27657,73575,257274,2382531,NA,NA
