Código,Descripción,state,year,USD
NA,Exportaciones totales,Aguascalientes,2007,4389841
NA,Exportaciones totales,Aguascalientes,2008,4456893
NA,Exportaciones totales,Aguascalientes,2009,3951108
NA,Exportaciones totales,Aguascalientes,2010,5647929
NA,Exportaciones totales,Aguascalientes,2011,6051640
NA,Exportaciones totales,Aguascalientes,2012,6183782
NA,Exportaciones totales,Aguascalientes,2013,6726207
NA,Exportaciones totales,Aguascalientes,2014,8466007
NA,Exportaciones totales,Aguascalientes,2015,8495445
NA,Exportaciones totales,Aguascalientes,2016,7870962
NA,Exportaciones totales,Aguascalientes,2017,7830019
NA,Exportaciones totales,Aguascalientes,2018,9618407
311,Industria alimentaria,Aguascalientes,2007,36351
311,Industria alimentaria,Aguascalientes,2008,44880
311,Industria alimentaria,Aguascalientes,2009,54269
311,Industria alimentaria,Aguascalientes,2010,56695
311,Industria alimentaria,Aguascalientes,2011,74756
311,Industria alimentaria,Aguascalientes,2012,92580
311,Industria alimentaria,Aguascalientes,2013,99725
311,Industria alimentaria,Aguascalientes,2014,106988
311,Industria alimentaria,Aguascalientes,2015,117028
311,Industria alimentaria,Aguascalientes,2016,106119
311,Industria alimentaria,Aguascalientes,2017,108958
311,Industria alimentaria,Aguascalientes,2018,116315
312,Industria de las bebidas y el tabaco,Aguascalientes,2011,0
312,Industria de las bebidas y el tabaco,Aguascalientes,2013,0
312,Industria de las bebidas y el tabaco,Aguascalientes,2014,0
313,Fabricación de insumos textiles y acabado de textiles,Aguascalientes,2007,1920
313,Fabricación de insumos textiles y acabado de textiles,Aguascalientes,2010,4433
313,Fabricación de insumos textiles y acabado de textiles,Aguascalientes,2011,4700
313,Fabricación de insumos textiles y acabado de textiles,Aguascalientes,2012,5843
313,Fabricación de insumos textiles y acabado de textiles,Aguascalientes,2013,3614
313,Fabricación de insumos textiles y acabado de textiles,Aguascalientes,2014,1260
313,Fabricación de insumos textiles y acabado de textiles,Aguascalientes,2015,1796
314,"Fabricación de productos textiles, excepto prendas de vestir",Aguascalientes,2008,8662
314,"Fabricación de productos textiles, excepto prendas de vestir",Aguascalientes,2009,12466
314,"Fabricación de productos textiles, excepto prendas de vestir",Aguascalientes,2010,14636
315,Fabricación de prendas de vestir,Aguascalientes,2007,197076
315,Fabricación de prendas de vestir,Aguascalientes,2008,235878
315,Fabricación de prendas de vestir,Aguascalientes,2009,237635
315,Fabricación de prendas de vestir,Aguascalientes,2010,252610
315,Fabricación de prendas de vestir,Aguascalientes,2011,276583
315,Fabricación de prendas de vestir,Aguascalientes,2012,215002
315,Fabricación de prendas de vestir,Aguascalientes,2013,179165
315,Fabricación de prendas de vestir,Aguascalientes,2014,181832
315,Fabricación de prendas de vestir,Aguascalientes,2015,183188
315,Fabricación de prendas de vestir,Aguascalientes,2016,182011
315,Fabricación de prendas de vestir,Aguascalientes,2017,161844
315,Fabricación de prendas de vestir,Aguascalientes,2018,191112
322,Industria del papel,Aguascalientes,2008,3710
322,Industria del papel,Aguascalientes,2009,2510
325,Industria química,Aguascalientes,2007,3295
325,Industria química,Aguascalientes,2008,4072
325,Industria química,Aguascalientes,2009,4869
325,Industria química,Aguascalientes,2010,6488
325,Industria química,Aguascalientes,2011,5950
325,Industria química,Aguascalientes,2012,7500
325,Industria química,Aguascalientes,2013,12147
325,Industria química,Aguascalientes,2014,12792
325,Industria química,Aguascalientes,2015,11532
325,Industria química,Aguascalientes,2016,14701
325,Industria química,Aguascalientes,2017,14492
325,Industria química,Aguascalientes,2018,14990
326,Industria del plástico y del hule,Aguascalientes,2007,6136
326,Industria del plástico y del hule,Aguascalientes,2008,15193
